,Unnamed: 0,qt_title,qt_content,ans_content
0,0,팅커캐드 아두이노 브레드보드,"안녕하세요 아두이노 입문자입니다.
팅커캐드로 아두이노 튜토리얼을 진행하는 중에 궁금한 점이 생겨 질문드립니다. 
1. 브레드 보드 양 끝쪽의 긴 행을 점퍼선으로 서로 연결한 이유는 무엇인가요?
  (맨 마지막에 사진 첨부해두었습니다.)
2. 발광 다이오드 회로 만들기 튜토리얼 할 때 저항은 (+)단자
와 (-)단자 어느쪽에 연결해도
상관없다고 나왔었는데 밑에 사진에 나오는 회로에서 저항을 (+)단자에 연결하면 발광 다이오드에 불빛이 들어오질 않습니다. 그 이유는 뭔가요?????? 궁금해요~~!!!!! ","아래위로 연결 해주는건 전원 라인을 위해 연결 하는데...현재의 회로에서는 위쪽 라인을 사용 안하기에 연결 안해주셔도 됩니다.회로가 커지거나 하면서 위쪽 라인을 사용할때 전원을 쓸 수 있도록 하는 겁니다.연결만 한다고 해서 불이 들어오는건 아닙니다.프로그램 상에서 11,12,13 에 HIGH, LOW를 넣어줘야 켜지고 꺼지고를 합니다."
1,1,서보모터 크롤링 오류가 뭔가요,"서보모터 사용 시 발생할 수 있는 오류 중에 크롤링 오류라는 게 있더라구요... 설명 부분에 저속으로 시행하게 되면 생긴다는 내용은 있는데 크롤링 오류가 정확히 왜 발생하는지, 크롤링 오류가 생기면 서보모터가 어떻게 작동하는지가 궁금합니다! 크롤링 오류가 생겼을 때 해결방법도 좀 알려주세여..!",헉 뭐죠..
2,2,아두이노 레오나르도 긴급,"이거 왜 오류나나요ㅠㅠ

코드
#include <Keyboard.h>
#include <KeyboardLayout.h>

void setup() {
  // put your setup code here, to run once:
  keyboard.brgin();
  pinMode(6, INPUT_PULLUP);
}

void loop() {
  // put your main code here, to run repeatedly:
  if (digitalRedd(6) == LOW) {
    Keyboard.print(""p"");
    delay(38);
  }
}






오류 
C:\Users\사용자이름\OneDrive\바탕 화면\sketch_feb1a\sketch_feb1a.ino: In function 'void setup()':
C:\Users\사용자이름\OneDrive\바탕 화면\sketch_feb1a\sketch_feb1a.ino:6:3: error: 'keyboard' was not declared in this scope
C:\Users\사용자이름\OneDrive\바탕 화면\sketch_feb1a\sketch_feb1a.ino:6:3: note: suggested alternative: 'Keyboard'
C:\Users\사용자이름\OneDrive\바탕 화면\sketch_feb1a\sketch_feb1a.ino: In function 'void loop()':
C:\Users\사용자이름\OneDrive\바탕 화면\sketch_feb1a\sketch_feb1a.ino:12:7: error: 'digitalRedd' was not declared in this scope
C:\Users\사용자이름\OneDrive\바탕 화면\sketch_feb1a\sketch_feb1a.ino:12:7: note: suggested alternative: 'digitalRead'

exit status 1

Compilation error: 'keyboard' was not declared in this scope","반갑습니다.#include <Keyboard.h>#include <KeyboardLayout.h>void setup() {  Serial.begin(9600); // <-----USB로 PC와 연결해서 설정해야 합니다.  // put your setup code here, to run once:  Keyboard.brgin(); // <-----K 대문자  pinMode(6, INPUT_PULLUP);}void loop() {  // put your main code here, to run repeatedly:  if (digitalRead(6) == LOW) { // <----- digitalRead    Keyboard.print(""p"");    delay(38);  }}조금이나마 도움이 되시길 바랍니다.코드에 2개의 오타가 있어서 오류가 발생하고 있습니다:1. keyboard.brgin();은 Keyboard.begin();이어야 합니다.2. if (digitalRedd(6) == LOW)은 if (digitalRead(6) == LOW)이어야 합니다.이 오타를 수정하면 코드가 제대로 컴파일되고 예상대로 작동할 것입니다.수정된 코드는 다음과 같습니다:"
3,3,아두이노 코딩 랜덤값,"아두이노 코딩 랜덤값에대한 질문입니다

Randomseed(AnaologA0) 을 사용해서 

1~10사이 랜덤값을 출력한다고 코딩했을때
랜덤하게 값이 출력되잖아요
그런데 만약에 기기를 껐다가 다시 켜도 완전 새로운 랜덤값 인가요? 아니면 출력 되는 값이 같나요?

예를 들어 처음에 출력할때
1.  3   5   7   1   2    7   10    8   3 이런식으로 출력된다면

기기를 껐다가 켰을때 
1.  3   5   7   1   2    7   10    8   3 식으로 처음과 같은 값으로 랜덤 출력인가요 아니면 
2.  2   6   5   4   1    10   9    7   9  이런식으로 완전히 또 랜덤값으로 출력이 되는건가요??",매번 킬 때마다 동일한 랜덤값이 나오므로randomSeed(analogRead(0)); 를 사용하는 것입니다.https://arduinogetstarted.com/ko/reference/arduino-randomseed
4,4,아두이노 산소 농도 센서,"안녕하세요. 탐구를 진행중인 고등학생입니다.
제가 컴공과 지망이라서
아두이노를 통해 대기의 산소 농도를 측정하고 싶어요.
그래서 인터넷에서 s+4ox 산소 센서를 샀습니다. 
그런데 이거 어떻게 연결하는지를 몰라요. 암만 찾아봐도 안 나오네요..
회로도에도 끄트머리에는 gnd만 적혀 있는데 그럼 gnd에 연결하라는 소리인가요?
아무나 아두이노 잘 하시는 분 답변 좀 부탁드립니다..
또 출력 전압이 너무 낮은 거 같은데 그냥 연결하면 안되나요?
아두이노에 어떻게 연결하는지가 제일 문제에요..
센서가 측정한 값이 뜨기만 하면 보정은 할 수 있을 것 같은데요.
제-----발 아무나 답변 좀 부탁드립니다. 
dd scientific의 s+4ox 센서 입니다. 이거 아시는 분 안 계신가요?
아두이노 잘 하시는 분... 저에게 도움을 주세요.",반갑습니다.s+4ox 센서는 Anode 와 Cathode간의 전압차로 산소의 질을 분석하는 센서입니다.그래서 Anode 에 + 전원을 연결하고 Cathode 에 - 전원(GND)를 연결하여 전압차를 확인해야 하는데 아두이노에서는 analog input핀에서 이값을 읽어와야 합니다.그렇기 때문에 이센서를 아두이노에 바로 연결하여 분석하는것은 힘들기 때문에 센서의 값을 analog나 digital값으로 출력해주는 센서 모듈이 있습니다. 이러한 모듈과 아두이노를 연결해야 센서값을 읽을수 있습니다.그래서 아두이노용 산소센서들이 있습니다. 조금이나마 도움이 되시길 바랍니다.알길이 막막하네요...https://www.ddscientific.com/uploads/5/7/1/3/57136893/s_4ox3_datasheet_iss_3.pdf봐도 딱히 어떻게 해야되는지 내용이 없는게 
5,5,아두이노 블루투스 마스터 슬레이브,"안녕하세요.

아두이노로 블루투스 마스터 슬레이브로 시리얼모니터에 표기하는 것을 하고 있습니다.

보시는 것과 같이 연동은 되었지만 마스터에서 나오는 시리얼 모니터의 값을 노트북에 연결된 슬레이브로 전달하여 시리얼 모니터에 출력하도록 하려하는데 다른 값이 나오게 되네요,,

해결할 방법이 있으면 알려주시면 감사하겠습니다. 내공100 드릴게요

<마스터>



<슬레이브>",print 말고 write 써보세요https://blog.naver.com/redcrow/221002128967
6,6,아두이노 조이스틱,"아래 사진과 같이 조이스틱으로 실시간 Serial.print를 했는데요. 저는 이 조이스틱이 평소에는 실행 안되다가 방향을 돌리면 Serial monitor에 값이 하나만 나오게 하고 싶어요..방법이 있을까요? 내공 200 드릴게요

int value=0;

void setup() {
  pinMode(A0, INPUT);
  pinMode(A1,INPUT);
  pinMode(7,INPUT_PULLUP); //set pin 7 as an input and enable the internal pull-up risistor
  Serial.begin(9600);
 }

void loop() {
 int x,y,s;
 x=analogRead(A0); //X값 읽기 0~1023
 y=analogRead(A1); //Y값 읽기 0~1023
 s=digitalRead(7); //read button state 0,1
    Serial.print(x,DEC);
    Serial.print(""|"");
    Serial.print(y,DEC);
    Serial.print(""|"");
    Serial.println(s,DEC);
    delay(100);
    x=analogRead(A0);
    y=analogRead(A1);
    s=digitalRead(7);
}","이전 값을 저장하기 위한 전역변수를 추가합니다.if(abs(x2)>10 || abs(y2)>10 || s1!=s0){adc값이 10 이상 변할 경우에만 출력하도록 변경 했습니다.+-10 정도가 흔들린다면 15나 20으로 변경하면 되겠죠추가문의는 https://cafe.naver.com/circuitsmanual쉽지 않습니다.무엇을 어떻게 하시려는지 명확한 내용이 있지 않는한...아마 보셔서 아시겠지만가만히 둬도 값이 변화가 있습니다.그렇기에 값이 변할때 라는 건 의미가 없습니다.오히려 특정 범위를 벗어날때 라는 개념으로 접근 하셔야 합니다.또한, 조이스틱을 천천히 움직여 보시면 아시겠지만값이 변하는게 스므스하게 변하지 않습니다.조금만 움직여도 거의 끝과 끝을 달립니다.그래서, 하고자 하는 명확한 용도가 무엇인지 등에 따라 가능하기도 불가능 하기도 합니ㅏㄷ.조이스틱을 그저 스위치 대신 사용 한다라면 어느정도 가능 하겠지만아날로그 값 그대로 이용 한다라면 어렵거나 불가능 할 수도 있습니다."
7,7,아두이노 시리얼모니터,"아래 코드를 이용하여, 버튼A를 1회 눌렀을 때 시리얼 모니터에 on이 1회 출력되고 버튼B를 1회 눌렀을 때 시리얼 모니터에 off가 1회 출력되도록 만들었습니다.

  if(digitalRead(sw1)==LOW)
  {
    Serial.println(""ON"");
    delay(1000);
  }
  if(digitalRead(sw2)==LOW)
  {
    Serial.println(""OFF"");
    delay(1000);

추가로, 시리얼 모니터 가장 아래에 on이 떠있을 때 모터가 돌아가도록 하고, 시리얼 모니터 가장 아래에 off가 떠있으면 모터가 멈추도록 하고 싶습니다.

이때 ""시리얼 모니터 가장 아래에 on이 떠있을 때""를 조건으로 거는 방법이 뭔가요?","우선 버튼을 누르면 한번만 ON또는 OFF를 하고 싶을때 위와 같이 하면 안됩니다 . 위의 경우는 버튼을 누르고 있으면 계속 On이란 문자가 시리얼 모니터에 찍히게 됩니다 .따라서 이런식으로 변경해줘야 합니다 .int status;if(digitalRead(sw1)==LOW) {   if(status == 0) {      status = 1;          p_motor = 1;      Serial.println(""ON"");      delay(1000);   } }  if(digitalRead(sw2)==LOW) {     if(status == 1)  {      status = 0;          p_motor = 0;     Serial.println(""OFF"");     delay(1000);   }}그리고 delay값은 낮추세요. 그래야 버튼누를때의 반응이 빨라집니다 .또한 시리얼 모니터는 아두이노에서 PC로 이미 보낸값이기때문에 모니터의 위치로는 감지할수 없고, 어떻게든 아두이노에서 처리해야 합니다 .참고하세요.안녕하세요.타이머 인터럽트를 통해 스위치 제어를 하시고, while 문을 통해 main에서 제어하시면 됩니다.반갑습니다.모니터 가장아래에 ON 과 OFF가 나오는 횟수는 모니터 줄수를 계산해서 마지막 줄일때 SW1,SW2의 값을 다시 읽어 들여서 모터동작을 제어하시면 되지 않을까 생각합니다.Servo servo; // 서보모터일 경우int value = 100; // 서보모터 회전수int a = 1; // 모니터 줄 수 셈할 변수if(a==50)// 모니터의 마지막 줄이 50일때{  if(digitalRead(sw1)==LOW)  {    Serial.println(""ON"");    delay(1000);    servo.write(value); // 마지막 줄 on이면 모터 동작  }a = 1; // 초기화}else {  if(digitalRead(sw1)==LOW)  {    Serial.println(""ON"");    delay(1000);  }  if(digitalRead(sw2)==LOW)  {    Serial.println(""OFF"");    delay(1000); }a = a++;}조금이나마 도움이 되시길 바랍니다."
8,8,아두이노 반복문 사용하여 구구단 코딩하기,"아두이노 공부 중인데 반복문 사용해서 구구단 출력하는데 

void setup(){
Serial.begin(9600)
}
 void.loop(){
for(int i=1;i<10;i++){
for(int j=1;j<10:j++){
Serial.print(i);
Serial.print(“ x ”);
Serial.print(j);
Serial.print(“ = ”);
Serial.println(i*j);
delay(500);
}
}
}
  이게 예제인데 i랑 j랑 조건이 같은데 어떻게 
1 x 1 = 1
1 x 2 = 2
1 x 3 = 3 이라는 결과가 출력되는지 궁금합니다.",i = 1 일때 두번째 for문이 돌면서 j값만 증가합니다. 이 for문이 끝나면 i = 2인 상태로 다시 두번째 for문이 실행됩니다. 다음도 마찬가지고요. 조건은 동일하지만 명령이 실행되는 순서가 다르기에 결과가 저리 나옵니다.
9,9,(초 긴급) atmega 128 LED 코딩 질문 ( 내공 1000 ),"atmega 128 타이머 및 카운터를 이용한 인터럽트를 이용해 서보 모터 및 DC 모터 속도제어 그리고 LED를 제어하는
프로그램입니다. 주석을 달아서 해석해주신다면 쳬택 바로 해드리겠습니다. ㅠㅠ

1. LED같은 경우는 8비트 타이머로 인터럽트 스위치를 눌렀을 때 깜빡이는 LED신호를 주는 것 입니다. 

2. 서보 모터 같은 경우는 16비트 타이머로 PWM 파형을 발생시켜 0,90,180도로 제어하는 것이고

3. DC 모터 같은 경우는 16비트 타이머로 모터 드라이버 L298N과 DC모터를 연결해서 DC 모터 속도를 제어 하는 것입니다.

1. LED 깜빡이기

   PORTC = 0xFF; // 타이머 발생 1000번째에 LED켜기
   else if ((cnt>1000)&&(cnt<2000)) {
      PORTC = 0x00;
   }
   else if (cnt>2000)
   cnt=0;
}

int main(void)
{
   TCNT0 = 0x06; // 1ms 만들기 위한 시스템 타이머 레지스터 설정
   TCCR0 = 0x04; // freescale 64배수
   TIMSK = 0x01; // 오버플로우 인터럽트 사용
   sei(); // SREG = 0x80;
   DDRC = 0xFF;
   while (1)
   {
   }
}
*/

/* 2. 서보 모터 각도 제어

#define F_CPU 16000000L
#include <avr/io.h>
#include <util/delay.h>

#define ROTATION_DELAY 1000
#define PULSE_MIN   1300
#define PULSE_MID   3000
#define PULSE_MAX   4700

void InitializeTimer1(void)
{
      TCCR1A |= (1 << WGM11);
   TCCR1B |= (1 << WGM12) | (1 << WGM13);
      TCCR1A |= (1 << COM1A1);
   TCCR1B |= (1 << CS11);
      ICR1 = 39999;
}

int main(void)
{
      DDRB |= (1 << PB5);
      InitializeTimer1();
      while(1)
   {
      OCR1A = PULSE_MIN;
      _delay_ms(ROTATION_DELAY);
            OCR1A = PULSE_MID;
      _delay_ms(ROTATION_DELAY);
            OCR1A = PULSE_MAX;
      _delay_ms(ROTATION_DELAY);
   }
   return 0;
}
*/


// 3. DC 모터 속도 제어
/*
#define F_CPU 16000000L
#include <avr/io.h>
#include <util/delay.h>
#include <avr/interrupt.h>

#define EnableMotor1()   PORTE &= ~0x04
#define DisableMotor1()   PORTE |= 0x04

#define ForwardMotor1()      PORTE &= ~0x01
#define BackwardMotor1()   PORTE |= 0x01

#define SpeedMotor1(s)   OCR3C = s

void InitializeTimer3(void)
{
      TCCR3A |= (1 << WGM30);
   TCCR3B |= (1 << WGM32);
   TCCR3A |= (1 << COM3B1);
   TCCR3B |= (1 << CS31) | (1 <<CS30);
      OCR3B = 0;
}

int main(void)
{
   DDRE |= (1 << PE0) | (1 << PE2) | (1 << PE4);
      InitializeTimer3();
      while(1)
   {
      EnableMotor1();
      ForwardMotor1();
            for(int i = 0; i < 256; i++){
         SpeedMotor1(i);
         _delay_ms(25);
      }
            _delay_ms(1000);
            SpeedMotor1(0);
      DisableMotor1();
            EnableMotor1();
      BackwardMotor1();
            for(int i = 0; i < 256; i++){
         SpeedMotor1(i);
         _delay_ms(25);
      }
            _delay_ms(1000);
            SpeedMotor1(0);
      DisableMotor1();
   }

   return 0;
}
*/

주석으로 설명해주신다면 정말 감사하겠습니다!!!!!!!!!","TCCR0=4; TCNT0= 6; TIMSK=1; //16000000/64/(256- 6),1mshttps://cafe.naver.com/circuitsmanual/29922서보모터의 원리는 이 글을 참고하시고https://cafe.naver.com/circuitsmanual/5902pwm을 이용한 서보모터 구동은 12년 전에 제가 만든 방법입니다.    DDRB=0x20;   // PB5 out    TCCR1A=0xAA; // FAST PWM    TCCR1B=0x1A; // 8분주=0.5usec    OCR1A=3000;  // 1500usec=0도    OCR1B=3000;  // 1500usec=0도    ICR1=39999;  // 0.5usec*40000=20000usec=50Hzhttps://cafe.naver.com/circuitsmanual/153892타이머모드 5번 8비트 fast pwm 모드를 사용하고 있습니다.https://cafe.naver.com/circuitsmanual/154090이 글을 참고하면 됩니다.// 타이머3 8비트 Fast PWM Mode // COM3x=2 Bottom(0x00)~OCR2구간 Set(5V), OCR2~TOP구간 Clear(0V)    TCCR3A=0x81; TCCR3B=0x09; //주기=16000000/   1/256=62500Hz=16us    TCCR3A=0x81; TCCR3B=0x0A; //주기=16000000/   8/256=7812.5Hz=128us    TCCR3A=0x81; TCCR3B=0x0B; //주기=16000000/  64/256=976.5625Hz=1.024ms    TCCR3A=0x81; TCCR3B=0x0C; //주기=16000000/ 256/256=244.140625Hz=4.096ms    TCCR3A=0x81; TCCR3B=0x0D; //주기=16000000/1024/256=61.03515625Hz=16.384ms여기서는 OC3A를 사용하고 있는데요    TCCR3A=0x21; TCCR3B=0x0B; //주기=16000000/  64/256=976.5625Hz=1.024ms OC3B를 사용하려면 이렇게 수정하면 되겠죠//DDRE |= (1 << PE0) | (1 << PE2) | (1 << PE4);L298의  IN1,IN2 및 L298의  EN핀에 연결 되는 것은 알겠지만회로 설정과 코드가 이해가 안됩니다.저가의 L298모듈을 사용한다면 질문 코드로는 제대로 동작하지 않습니다.https://cafe.naver.com/circuitsmanual/26834L298의 동작은 이 글 참고하세요저라면 이렇게 작성하겠습니다.OC3B pwm핀은 L298의 EN핀에 연결하는데요SpeedMotor1(0); IN2_0; IN1_0; // 정지속도를 0으로 설정하는 것은 자동차에서 클러치를 떼어서 마찰력에 의해서 감소되는 것을 기다리는 것과 같아서제동시간이 오래 걸립니다.SpeedMotor1(255); IN2_0; IN1_0; // 정지pwm 듀티100%로 정지를 시키면 자동차에서 산에서 내려올 때 저속기어를 사용해서 엔진브레이크를 거는 것과 비슷한 효과를 내서 제동시간이 줄어듭니다.물론 기계적인 장치가 없으므로 강력한 브레이크를 걸 수는 없습니다."
10,10,아두이노 고수님들 답변 부탁드립니다,"일단 아두이노는 인터넷에서 들어보고 만드는걸 보기만했고 
직접 만져보진 못했습니다

당연히 프로그래밍도 못합니다

납땜도 못합니다

근데 아두이노로 제가 만들고 싶은 mp3플레이어를 만들고 싶습니다

도와주세요!!!!!제발!!!!!

1. 세로 5cm 세로 3cm 두께 1~2cm 정도의 미니 mp3 플레이어를 만들고 싶습니다

2. 재료를 세세한것 까지 전부 알려주세요

3.프로그래밍을 어떻게 해야하는지 알려주세요

4. 버튼은 측면에 온오프 버튼 1개 플레이 버튼 1개 전면에 이전곡 다음곡 버튼 2개 이렇게만 있으면 됩니다

5. 전원은 외부로 선을 뺀 건전지 방식이면 됩니다. 재생은 스테레오 이어폰이면 됩니다.

6. 메모리는 외장 메모리든 내장메모리든 최대한 두께가 얇아질수 있으면 됩니다

이런 플레이어를 만들고 싶은데 고수님들 꼭좀 도움주시면 감사하겠습니다!!!!!!!!!!!!!!!!!

4. 만드는 방법과 팁은 상세히 알려주세요 ㅜㅜ","이쪽으로는 사용해본적이 없지만 이건 확실합니다.1. 아두이노로 직접 MP3를 만드는건 불가능.2. 대신 MP3모듈이 있음.3. MP3모듈에 재생, 정지같은 명령을 아두이노에서 내려줄 수 있음.4. 소리를 내는건 스피커나 스피커잭 같은걸 이용.5. 음악을 저장해두는건 SD카드쪽에.대충 이런 구조로 알고 있습니다.맘만 먹고 잘 계획하시면 구상하시는 사이즈로 만드는 것도 가능할거구요.아두이노 마이크로나 나노 같은걸 쓰시면 사이즈를 확실히 줄여줄 수 있을 겁니다.다만 노이즈 발생같은 문제가 있어서웬만한 연결은 납땜으로 하는게 좋을 것입니다.커넥터 연결은 필연적으로 노이즈를 발생시키거든요.(MP3에 이어폰 잭 연결하고 잭을 빙글빙글 돌리면 잡음이 나잖아요? 그런게 심해지는거죠.)일단 가능합니다. 구겨넣으면 2*2*1cm(케이스 제외)도 가능합니다. 아두이노 없어도 제어가 가능하긴 하지만 말씀하신 조건에선 필요해보입니다. 다만 아두이노는 더 크기를 줄일수 없으니 칩만 사용하시는걸 추천합니다.일단 dfplayer mini, 만능기판, 3.5파이 단자, attiny 85, 1k옴 저항, 버튼들, 그리고 전선만 있으면 됩니다.fat32로 포맷된 sd카드에 원하는 노래를 넣으실 수 있습니다.코딩이 그렇게 어렵진 않지만 처음하면 어려우실 순 있습니다.구글에 attiny85 dfplayer mini 라고 검색하시면 만든게 많으니 참고해보세요."
11,11,아두이노 회로 질문(내공1000),"저는 아두이노로 다음과 같은 것을 만들려고 합니다

적외선 센서가 장애물을 감지하면 연결된 LED에 불이 들어온다. 그렇지 못하면 LED는 꺼져있다




그래서 회로를 만들어봤는데 LED가 아예 켜지지않습니다. 전원에 연결하였을 때 LED는 잘 작동하므로 LED가 고장나진 않았습니다. 왜 그런지 이유를 몰라 회로도를 올려봅니다!

오른쪽 센서는 초음파거리 센서인데 그냥 적외선 센서로 이해해주시면 되겠습니다. 그림에서 보이는 SIG 단자를 OUT으로 봐주시면 됩니다

아래는 코드입니다

int led = 11;  // led를 D11핀에 연결한 것을 선언
int sensor = 12;
 void setup() {
  pinMode(11, OUTPUT);
  pinMode(sensor, INPUT);
}
 void loop() {
  // put your main code here, to run repeatedly:
  if(digitalRead(sensor == HIGH)) //센서 미작동시
  {
    digitalWrite(11, LOW);  //LED도 미작동
  }
  else //센서 작동시
  {
    digitalWrite(11, HIGH); //LED도 작동
  }
}",정확한 것은 실제 연결된 사진을 봐야지만 알수 있겠지만우선  if(digitalRead(sensor == HIGH))  이것을  if(digitalRead(sensor) ==HIGH) 이렇게 수정해 보세요.님이 사용한 초음파센서가 어떤것인지 정확히 알아야 답변이 가능합니다 인터넷을 찾아보니 핀이 3개인 초음파 센서는 출력과 입력겸용인 제품이네요. 따라서 위와 같은 형태로 코딩해야 합니다. 님은 12번 핀을 초음파센서로 연결했으므로 위의 소스에서 7번 대신 12번으로 해주면 됩니다. 우선 초음파센서에서 Trig신호를 줘야 합니다. 이때는 12번 핀을 출력으로 해서 주고 그렇게 trig신호를 주고 나면 그즉시 입력으로 바꾼다음 펄스가 들어오는 동안의 시간을 측정하고 그 시간으로 거리를 판단해야 합니다. 마지막 부분에 if(distance >= 100) LED = on;else LED = off; 이런식으로 처리해주면 됩니다. 참고하세요.
12,12,아이가 실내에서 갖고놀 느린 전동자동차를 만들려고합니다.,"아이가 실내에서 갖고놀 수 있는 저속(사람이 기어가는 수준의 속도?)의 심플한 전동자동차를 만들어보려고 합니다. 라즈베리파이 피코를 활용하여 스텝모터로 활용해보고 싶은데, 어떤 모터를 적용시켜야 할지 궁금합니다.

자동차의 조건은:
- 아이의 무게는 12kg 입니다.
- 자동차의 크기는 약 가로 80cm, 세로 50cm
- 자동차 프레임의 무게는 약 5kg
- 바퀴의 크기는 약 64mm,

따라서  약 15~20kg을 이동시킬수 있는 힘이 필요합니다. 만일 스텝모터를 양쪽 바퀴에 직접적으로 연결할 경우, 사용하면 좋을 가성비의 서보모터를 추천해주시면 감사하겠습니다. 또는 스텝모터를 한개만 사용하고 기어를 적용시킬 경우, 어떤 방법이 있을지도 알려주시면 감사하겠습니다.

p.s. 지금 검색해보고 있는 스텝모터는 hs 네마 17모터 60mm(17hs6001)입니다. 이것을 사용하면 좋을지 궁금합니다.",스텝모터로는 거의 불가능합니다.스텝모터는 정교한 제어를 위한 모터라 큰 토크를 내기 어렵습니다. DC모터 중 기어가 들어간 것을 살펴보세요.이를테면https://m.eleparts.co.kr/goods/view?no=8952720링크의 모터는 유성기어(기어비가 꽤 큽니다. 저속+고토크용) 사용하고 4.6kg cm 의 토크까지 가능합니다. 보통 실내용 차량을 만들면 고무타이어를 사용하실텐데 정지 마찰계수가 상당히 큽니다. 아마 이걸로도 아이가 타면 안움직일겁니다. 평평한 곳에 기차 레일처럼 마찰이 작은 맨질하고 딱딱한 나무로 만드시고 기차 바퀴처럼 딱딱한 바퀴를 고르셔야할 겁니다.아니면... 중고마켓이나 당근에서 중고로 파는 장난감차를 구입하셔서 내부에 있는 모터와 바퀴를 재활용하셔도 됩니다. 아마 이 방법이 모터를 저렴하게 구하는 방법일겁니다.
13,13,아두이노 초보 코딩 컴파일 에러. 유튜브 보고 따라하는데 왜 안되죠 ?,"그림과 같이 에러가 나는데,
무슨 문제인지 알려주세요. 

감사합니다. ",이것만 봐서는 알 수 없습니다. 전체 코드를 올려 주시면 확인이 가능 합니다. 아두이노 IDE 에서 collect2.exe: error: ld returned 1 exit status  에러는 꼭 있어야 하는 함수가 없거나.. ( 예를 들어 setup() 함수나 loop() 함수 같은)  하면 발생합니다. 이 두 함수가 없을 가능성은 거의 없으니아마도 라이브러리 관련해서 발생했을 가능성이 큽니다.전체 코드를 올려주시면 확인해 보겠습니다. 
